Accuracy,BalancedAccuracy,Recall,CohenKappa,Precision,GeometricMean,F1,Demographic_Parity,Disparate_Impact,Equal_Opportunity,Equalized_FPR,IndividualFairness,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,0.0,2026-03-11 10:10:28.623505
0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,0.0,2026-03-11 10:10:28.624134
0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,1.0,0.0,0.5,1.0,1.0,1.0,inf,0.0,2026-03-11 10:10:28.624705
0.25,0.16666666666666666,0.3333333333333333,-0.5,0.5,0.0,0.4,1.0,1.0,1.0,inf,0.0,2026-03-11 10:10:28.626603
0.4,0.25,0.5,-0.36363636363636376,0.6666666666666666,0.0,0.5714285714285715,0.6666666666666667,0.6666666666666667,0.6666666666666667,inf,0.0,2026-03-11 10:10:28.627347
0.5,0.3,0.6,-0.28571428571428586,0.75,0.0,0.6666666666666665,0.5,0.5,0.5,inf,0.0,2026-03-11 10:10:28.628063
0.5714285714285714,0.3333333333333333,0.6666666666666666,-0.23529411764705913,0.8,0.0,0.7272727272727272,0.4,0.4,0.4,inf,0.0,2026-03-11 10:10:28.630692
0.5,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.4,0.4,0.4,inf,0.0,2026-03-11 10:10:28.634574
0.5555555555555556,0.35714285714285715,0.7142857142857143,-0.2857142857142857,0.7142857142857143,0.0,0.7142857142857143,0.4,0.4,0.4,inf,0.0,2026-03-11 10:10:28.635657
0.6,0.375,0.75,-0.2500000000000007,0.75,0.0,0.75,0.33333333333333337,0.33333333333333337,0.33333333333333337,inf,0.0,2026-03-11 10:10:28.636892
0.6363636363636364,0.3888888888888889,0.7777777777777778,-0.22222222222222268,0.7777777777777778,0.0,0.7777777777777778,0.2857142857142857,0.2857142857142857,0.2857142857142857,inf,0.0,2026-03-11 10:10:28.638185
0.6666666666666666,0.4,0.8,-0.20000000000000057,0.8,0.0,0.8000000000000002,0.2857142857142857,0.2857142857142857,0.2857142857142857,inf,0.0,2026-03-11 10:10:28.642504
0.6923076923076923,0.4090909090909091,0.8181818181818182,-0.1818181818181819,0.8181818181818182,0.0,0.8181818181818182,0.25,0.25,0.25,inf,0.0,2026-03-11 10:10:28.643871
0.7142857142857143,0.4166666666666667,0.8333333333333334,-0.16666666666666635,0.8333333333333334,0.0,0.8333333333333334,0.2222222222222222,0.2222222222222222,0.2222222222222222,inf,0.0,2026-03-11 10:10:28.648969
0.7333333333333333,0.4230769230769231,0.8461538461538461,-0.1538461538461544,0.8461538461538461,0.0,0.8461538461538461,0.19999999999999996,0.19999999999999996,0.19999999999999996,inf,0.0,2026-03-11 10:10:28.650737
0.75,0.42857142857142855,0.8571428571428571,-0.14285714285714285,0.8571428571428571,0.0,0.8571428571428571,0.18181818181818177,0.18181818181818177,0.18181818181818177,inf,0.0,2026-03-11 10:10:28.655567
0.7647058823529411,0.43333333333333335,0.8666666666666667,-0.1333333333333332,0.8666666666666667,0.0,0.8666666666666667,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 10:10:28.660007
0.7777777777777778,0.4375,0.875,-0.125,0.875,0.0,0.875,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 10:10:28.661938
0.7894736842105263,0.4411764705882353,0.8823529411764706,-0.11764705882352948,0.8823529411764706,0.0,0.8823529411764706,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 10:10:28.670184
0.8,0.4444444444444444,0.8888888888888888,-0.11111111111111124,0.8888888888888888,0.0,0.8888888888888888,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 10:10:28.672255
0.8095238095238095,0.4473684210526316,0.8947368421052632,-0.10526315789473745,0.8947368421052632,0.0,0.8947368421052632,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 10:10:28.760169
0.8181818181818182,0.45,0.9,-0.09999999999999892,0.9,0.0,0.9,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 10:10:28.761272
0.8260869565217391,0.4523809523809524,0.9047619047619048,-0.09523809523809394,0.9047619047619048,0.0,0.9047619047619048,0.15384615384615385,0.15384615384615385,0.15384615384615385,inf,0.0,2026-03-11 10:10:28.769421
0.8333333333333334,0.45454545454545453,0.9090909090909091,-0.09090909090908979,0.9090909090909091,0.0,0.9090909090909091,0.15384615384615385,0.15384615384615385,0.15384615384615385,inf,0.0,2026-03-11 10:10:28.770625
0.84,0.45652173913043476,0.9130434782608695,-0.08695652173913067,0.9130434782608695,0.0,0.9130434782608695,0.1428571428571429,0.1428571428571429,0.1428571428571429,inf,0.0,2026-03-11 10:10:28.771853
0.8461538461538461,0.4583333333333333,0.9166666666666666,-0.08333333333333463,0.9166666666666666,0.0,0.9166666666666666,0.1333333333333333,0.1333333333333333,0.1333333333333333,inf,0.0,2026-03-11 10:10:28.779200
0.8518518518518519,0.46,0.92,-0.08000000000000078,0.92,0.0,0.92,0.1333333333333333,0.1333333333333333,0.1333333333333333,inf,0.0,2026-03-11 10:10:28.780521
0.8214285714285714,0.46,0.92,-0.09375000000000121,0.8846153846153846,0.0,0.9019607843137256,0.125,0.125,0.1333333333333333,0.0,0.0,2026-03-11 10:10:28.787946
0.8275862068965517,0.46153846153846156,0.9230769230769231,-0.09022556390977474,0.8888888888888888,0.0,0.9056603773584906,0.125,0.125,0.1333333333333333,0.0,0.0,2026-03-11 10:10:28.789425
0.8333333333333334,0.46296296296296297,0.9259259259259259,-0.08695652173913107,0.8928571428571429,0.0,0.9090909090909091,0.125,0.125,0.1333333333333333,0.0,0.0,2026-03-11 10:10:28.797296
0.8387096774193549,0.4642857142857143,0.9285714285714286,-0.08391608391608388,0.896551724137931,0.0,0.912280701754386,0.11764705882352944,0.11764705882352944,0.125,0.0,0.0,2026-03-11 10:10:28.798890
0.84375,0.46551724137931033,0.9310344827586207,-0.08108108108108109,0.9,0.0,0.9152542372881356,0.11111111111111116,0.11111111111111116,0.11764705882352944,0.0,0.0,2026-03-11 10:10:28.816526
0.8484848484848485,0.4666666666666667,0.9333333333333333,-0.07843137254901962,0.9032258064516129,0.0,0.9180327868852459,0.10526315789473684,0.10526315789473684,0.11111111111111116,0.0,0.0,2026-03-11 10:10:28.824666
0.8529411764705882,0.46774193548387094,0.9354838709677419,-0.07594936708860708,0.90625,0.0,0.9206349206349206,0.10526315789473684,0.10526315789473684,0.11111111111111116,0.0,0.0,2026-03-11 10:10:28.832146
0.8571428571428571,0.46875,0.9375,-0.07361963190184051,0.9090909090909091,0.0,0.923076923076923,0.09999999999999998,0.09999999999999998,0.10526315789473684,0.0,0.0,2026-03-11 10:10:28.840432
0.8611111111111112,0.4696969696969697,0.9393939393939394,-0.07142857142857088,0.9117647058823529,0.0,0.9253731343283583,0.09523809523809523,0.09523809523809523,0.09999999999999998,0.0,0.0,2026-03-11 10:10:28.842763
0.8648648648648649,0.47058823529411764,0.9411764705882353,-0.0693641618497103,0.9142857142857143,0.0,0.9275362318840579,0.09090909090909094,0.09090909090909094,0.09523809523809523,0.0,0.0,2026-03-11 10:10:28.850755
0.8421052631578947,0.47058823529411764,0.9411764705882353,-0.07547169811320756,0.8888888888888888,0.0,0.9142857142857143,0.08695652173913049,0.08695652173913049,0.09523809523809523,0.0,0.0,2026-03-11 10:10:28.859997
0.8461538461538461,0.4714285714285714,0.9428571428571428,-0.07339449541284387,0.8918918918918919,0.0,0.9166666666666667,0.08695652173913049,0.08695652173913049,0.09523809523809523,0.0,0.0,2026-03-11 10:10:28.875073
0.85,0.4722222222222222,0.9444444444444444,-0.07142857142857148,0.8947368421052632,0.0,0.918918918918919,0.08333333333333337,0.08333333333333337,0.09090909090909094,0.0,0.0,2026-03-11 10:10:28.884615
0.8536585365853658,0.47297297297297297,0.9459459459459459,-0.0695652173913042,0.8974358974358975,0.0,0.9210526315789475,0.07999999999999996,0.07999999999999996,0.08695652173913049,0.0,0.0,2026-03-11 10:10:28.894309
0.8333333333333334,0.47297297297297297,0.9459459459459459,-0.07299270072992686,0.875,0.0,0.9090909090909091,0.07999999999999996,0.07999999999999996,0.08695652173913049,0.0,0.0,2026-03-11 10:10:28.908233
0.8372093023255814,0.47368421052631576,0.9473684210526315,-0.07117437722419923,0.8780487804878049,0.0,0.9113924050632912,0.07692307692307687,0.07692307692307687,0.08333333333333337,0.0,0.0,2026-03-11 10:10:28.919050
0.8409090909090909,0.47435897435897434,0.9487179487179487,-0.06944444444444381,0.8809523809523809,0.0,0.9135802469135802,0.07692307692307687,0.07692307692307687,0.08333333333333337,0.0,0.0,2026-03-11 10:10:28.930019
0.8222222222222222,0.47435897435897434,0.9487179487179487,-0.07142857142857167,0.8604651162790697,0.0,0.9024390243902439,0.07407407407407407,0.07407407407407407,0.08333333333333337,0.0,0.0,2026-03-11 10:10:28.939228
0.8260869565217391,0.475,0.95,-0.0697674418604651,0.8636363636363636,0.0,0.9047619047619048,0.0714285714285714,0.0714285714285714,0.07999999999999996,0.0,0.0,2026-03-11 10:10:28.951320
0.8297872340425532,0.47560975609756095,0.9512195121951219,-0.06818181818181944,0.8666666666666667,0.0,0.9069767441860465,0.06896551724137934,0.06896551724137934,0.07692307692307687,0.0,0.0,2026-03-11 10:10:28.957486
0.8333333333333334,0.47619047619047616,0.9523809523809523,-0.0666666666666672,0.8695652173913043,0.0,0.909090909090909,0.06666666666666665,0.06666666666666665,0.07407407407407407,0.0,0.0,2026-03-11 10:10:28.963397
